STOPID,PREVSTOPID,TIMESTAMP,T_HOUR,TIMETAKEN
989,99,1449891035190,9,149999
4828,1735,1449891120169,9,70000
70362,24851,1449891145173,9,45000
324,331,1449891115176,9,75000
BP4242,1291,1449891065180,9,124999
7725,BP2895,1449891140181,9,50000
2009,759,1449891135192,9,55000
4644,14522,1449891135170,9,60000
8019,1578,1449891110176,9,85000
1291,315,1449891150177,9,45000
15783,34846,1449890845176,8,350009
14237,1801,1449891150190,9,45000
913,320,1449891085169,9,115000
20628,1472,1449891160172,9,40000
33291,33260,1449891090178,9,110000
R0325,14523,1449891160179,9,40000
37643,7823,1449890825171,8,375010
782,1115,1449891185185,9,15001
BP5294,35030,1449891055187,9,145000
297,36602,1449891125172,9,80000
27566,70362,1449891190173,9,15000
9992,4838,1449891160182,9,45001
BP1794,9982,1449891150193,9,55000
14682,R0078,1449891170196,9,34998
2238,34246,1449891110194,9,100000
1277,33291,1449891180170,9,35000
330,24180,1449891135170,9,80000
606,4711,1449891175171,9,40000
14240,195,1449891170179,9,44998
8019,1578,1449891055179,9,160000
14240,195,1449891150183,9,65000
195,192,1449891160188,9,55000
1046,14237,1449891195190,9,20000
376,BP4242,1449891115191,9,100001
BP3912,BP199,1449891040180,9,180000
BP833,606,1449891185184,9,35000
10922,3487,1449891185187,9,35001
33431,BP5998,1449891135194,9,85000
976,165,1449891140173,9,85000
371,8019,1449891195176,9,30000
BP5294,35030,1449891010183,9,215000
1937,1577,1449891125184,9,100001
1802,297,1449891110171,9,120000
21,1287,1449891145176,9,85000
2952,7725,1449891190181,9,40000
14240,195,1449891215188,9,15001
BP5283,14456,1449891170193,9,59999
14639,24180,1449891075175,9,160000
33260,324,1449891190176,9,45001
371,8019,1449891215179,9,20000
BP5972,BP3912,1449891220180,9,15000
8019,4896,1449891115182,9,120000
1280,14639,1449891165182,9,70000
BP5244,2043,1449890675190,8,560000
1609,BP199,1449891165190,9,70001
10872,2009,1449891190192,9,45001
2648,783,1449891135173,9,105000
1277,33291,1449891200178,9,40000
982,BP5294,1449891200187,9,40001
1609,BP4608,1449891135187,9,105001
1045,297,1449891205172,9,40000
3218,14240,1449891215177,9,30000
BP4608,9992,1449891205183,9,40000
BP1379,14535,1449891180183,9,65001
129,305,1449891180188,9,65001
9993,606,1449891215171,9,35000
8558,10352,1449891120172,9,130000
7823,BP3504,1449890510122,8,740053
BP2028,166,1449891105186,9,145001
9986,375,1449891180192,9,70003
905,913,1449891200169,9,55000
2018,20628,1449891200172,9,55000
947,2952,1449891230181,9,25000
BP5485,29844,1449891140187,9,115000
4876,R0325,1449891100189,9,155000
616,1802,1449891230171,9,30000
10885,27566,1449891205173,9,55000
1293,1291,1449891195177,9,65001
1114,14219,1449891135181,9,125001
33320,BP3912,1449891180183,9,80001
BP3536,143,1449890790186,8,470000
4894,2238,1449891210194,9,50000
14529,4644,1449891195170,9,70000
3218,14240,1449891215183,9,50000
R0036,7960,1449891175186,9,90001
BP4267,R0036,1449891265187,9,0
R0674,4828,1449891190169,9,80000
1802,1045,1449891245172,9,25000
1289,21,1449891230176,9,40000
947,2952,1449891185179,9,85001
4711,376,1449891215192,9,55000
10864,BP1794,1449891205193,9,65000
376,BP4242,1449891160180,9,115001
25693,10885,1449891260173,9,20000
34182,1280,1449891235182,9,45001
9993,BP833,1449891220184,9,60000
3218,14240,1449891230189,9,50000
377,1609,1449891235191,9,45000
4945,10872,1449891235193,9,45000
4839,9993,1449891250171,9,35000
33320,BP3912,1449891160176,9,125000
33321,BP5972,1449891235180,9,50000
320,782,1449891200186,9,85000
1017,1046,1449891215190,9,70000
2636,905,1449891255169,9,34990
14531,14529,1449891265170,9,24990
20760,371,1449891225176,9,64990
982,BP5294,1449891225183,9,64990
33321,33320,1449891260184,9,29990
8348,660,1449891160193,9,129990
4750,3218,1449891265183,9,29990
3219,14262,1449891155191,9,139990
759,10864,1449891270193,9,24990
80011,330,1449891215170,9,84990
1609,BP4608,1449891245183,9,54990
4839,9993,1449891280184,9,19990
1157,2018,1449891255172,9,49990
9045,1937,1449891225185,9,79990
33683,BP5244,1449891235190,9,69989
4900,989,1449891185189,9,119990
308,BP5529,1449891170195,9,134988
BP5998,8560,1449891155169,9,154990
312,1289,1449891270176,9,39990
376,BP4242,1449891190179,9,119990
7724,R0674,1449891270169,9,44990
8559,33683,1449891095178,9,219990
2648,1114,1449891260182,9,54989
35678,35731,1449890940185,8,374990
4750,3218,1449891280189,9,34989
606,4711,1449891270192,9,44989
1278,14639,1449891235175,9,84990
1275,1277,1449891240178,9,79990
29684,37643,1449891200181,9,119990
BP3912,1609,1449891240188,9,79989
2051,944,1449890975190,8,344990
616,1802,1449891270172,9,54990
33924,976,1449891225173,9,99990
BP4242,1293,1449891260178,9,64989
33107,BP5485,1449891255187,9,69990
2009,759,1449891295183,9,30000
BP5485,14682,1449891205194,9,119990
8560,8558,1449891250172,9,79990
20669,3218,1449891245177,9,84990
1736,947,1449891255181,9,74990
9991,4839,1449891300174,9,30000
R0078,616,1449891260171,9,74990
20997,2648,1449891240173,9,94990
305,20997,1449891335163,9,0
33321,33320,1449891285176,9,49990
20669,4750,1449891295173,9,40000
8348,BP2028,1449891250187,9,84989
14511,4876,1449891255189,9,79990
4716,1017,1449891285190,9,49990
1283,80011,1449891300160,9,40000
9991,4839,1449891285171,9,54990
4876,R0325,1449891200179,9,139990
371,8019,1449891235182,9,104990
37219,BP1379,1449891245184,9,94990
BP3912,377,1449891280191,9,59990
33431,BP5998,1449891310159,9,35000
4645,14531,1449891290160,9,55000
33291,33260,1449891235177,9,109989
377,1609,1449891300173,9,45000
BP5972,BP3912,1449891320177,9,25001
2622,616,1449891325162,9,25000
1740,9045,1449891305175,9,45000
675,8348,1449891335176,9,15001
14242,3219,1449891295181,9,55000
10878,4945,1449891280193,9,69990
1276,8348,1449891290183,9,60000
33322,33321,1449891290174,9,64999
2272,129,1449891245189,9,109989
BP5172,BP5283,1449891230192,9,124989
10879,25693,1449891280173,9,79990
34717,34716,1449891170180,9,189988
33322,33321,1449891285180,9,74990
2050,1736,1449891330171,9,30000
R0085,BP5172,1449891355181,9,5000
9990,9986,1449891250195,9,109987
BP5408,33431,1449891220194,9,139990
14920,2636,1449891290159,9,75000
33549,1277,1449891215170,9,149990
1692,1283,1449891340160,9,25001
8586,1157,1449891305162,9,60000
BP833,606,1449891315181,9,50001
10872,2009,1449891325183,9,40000
14682,R0078,1449891335161,9,35000
945,2050,1449891360171,9,10000
35678,10922,1449891220188,9,149990
BP5972,BP3912,1449891340181,9,29999
10880,10878,1449891350183,9,19999
33322,33321,1449891335166,9,40000
4711,376,1449891310169,9,65000
1041,9991,1449891330174,9,45000
913,320,1449891285186,9,89990
8419,33107,1449891325177,9,50000
20669,4750,1449891315178,9,60000
4825,7724,1449891315159,9,65000
945,947,1449891270180,9,109990
