t_hour,line,sequence,direction,timetaken
11,38,34,1,145003
11,29,33,1,80000
11,29,26,1,50001
11,29,28,2,50001
11,29,38,2,215001
11,38,19,1,45000
11,25,13,2,210001
11,38,26,2,30001
11,38,38,1,55001
11,29,26,1,65001
11,29,24,2,70001
11,29,32,2,89998
11,38,5,1,69999
11,38,29,2,164999
11,29,18,2,19996
11,38,9,1,309999
11,29,23,1,29999
11,29,32,1,35000
11,29,21,2,49999
11,38,7,1,104997
11,38,17,2,110000
11,38,33,1,45000
11,38,5,2,100000
11,29,19,1,90000
11,38,15,1,80000
11,38,27,2,165000
11,29,3,1,165001
11,29,34,1,140000
11,38,41,1,490000
11,29,16,2,59999
11,38,24,1,44996
11,29,37,2,90001
11,29,7,1,75000
11,29,34,2,80000
11,29,28,2,90000
11,38,38,1,80000
11,29,19,2,30001
11,29,12,2,100000
11,38,32,2,60000
11,38,22,1,140000
11,29,2,1,190000
11,38,25,1,90000
11,38,6,2,90000
11,29,25,2,44999
11,25,2,1,109999
11,29,33,1,109999
11,29,33,2,49999
11,25,38,2,130000
11,38,17,2,84999
11,29,13,1,105000
11,38,31,1,474999
11,38,34,1,110000
11,29,33,1,50000
11,38,8,2,175001
11,29,17,2,35001
11,38,10,1,85001
11,29,22,2,55001
11,29,20,2,105000
11,29,29,2,75000
11,38,20,1,75000
11,38,19,2,100000
11,38,31,2,130001
11,25,14,2,75000
11,38,18,2,60000
11,29,14,2,135000
11,38,14,2,104999
11,29,20,1,55000
11,38,33,2,39999
11,29,12,1,109999
11,29,24,1,70000
11,38,13,1,124999
11,29,18,2,15000
11,29,29,2,50000
11,38,30,2,80000
11,29,23,2,19999
11,38,28,2,169999
11,38,29,2,210000
11,29,38,2,125000
11,38,18,1,125000
11,38,39,1,95000
11,29,27,1,95000
11,25,24,1,865000
11,29,35,2,60000
11,29,27,1,105000
11,38,15,2,20001
11,38,35,1,120001
11,38,18,2,45001
11,38,35,1,109997
11,29,26,2,55001
11,38,26,1,60000
11,29,8,1,70000
11,25,39,2,55001
11,25,17,2,215004
11,38,29,1,155000
11,29,39,2,120000
11,29,13,2,75000
11,38,29,1,155000
11,29,25,1,35002
11,29,34,1,125000
11,29,19,2,35000
11,38,23,1,80000
11,29,34,2,70001
11,29,14,1,65000
11,29,35,1,90000
11,38,8,1,110000
11,29,15,2,50000
11,38,3,2,195000
11,29,20,2,89999
11,29,4,1,104999
11,38,25,1,100000
11,29,21,2,64999
11,38,6,2,114999
11,38,32,2,64999
11,38,27,2,139999
11,38,37,2,180000
11,38,30,2,50001
11,38,19,1,50000
11,38,34,2,65001
11,38,19,2,70000
11,29,24,2,60000
11,38,10,1,140000
11,29,34,1,105001
11,38,6,1,150000
11,29,21,1,85001
11,38,14,1,85000
11,38,39,1,129999
11,38,34,1,149999
11,38,9,1,45000
11,29,9,1,64999
11,29,36,2,74999
11,25,2,1,285000
11,38,31,2,85000
11,29,34,1,115000
11,25,4,1,30000
11,38,36,1,79999
11,38,35,1,120001
11,38,19,2,80000
11,38,33,2,45000
11,29,30,2,95000
11,25,18,2,74996
11,29,39,2,89999
11,38,11,1,114999
11,38,36,1,84999
11,29,36,1,65000
11,38,16,2,89999
11,29,5,1,55000
11,38,7,2,145000
11,29,41,1,89999
11,29,30,2,119999
11,29,26,1,74999
11,29,35,2,70000
11,38,11,2,65001
11,29,3,1,150001
11,38,26,1,60001
11,29,21,2,65001
11,29,22,2,60001
11,38,20,2,125000
11,38,24,1,75000
11,38,16,1,175001
11,38,21,1,130000
11,38,28,2,180000
11,29,16,2,80000
11,38,27,1,105000
11,29,20,2,89999
11,25,25,1,115000
11,38,20,1,69999
11,29,25,2,65001
11,29,31,2,35001
11,29,6,2,104999
